"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['X4Sigma-', 28, 0.0, 0.5, 0.5]",8.296826914448626
"['X4Sigma-', 28, 0.0, 1.5, 1.5]",8.505612524454524
"['X4Sigma-', 29, 0.0, -1.5, -1.5]",35.04939053532849
"['X4Sigma-', 29, 0.0, -0.5, -0.5]",27.891531941230564
"['X4Sigma-', 29, 0.0, 0.5, 0.5]",30.216331631485584
"['X4Sigma-', 29, 0.0, 1.5, 1.5]",35.4418795589181
"['X4Sigma-', 30, 0.0, -1.5, -1.5]",59.11324080779439
"['X4Sigma-', 30, 0.0, -0.5, -0.5]",28.861465986035977
"['X4Sigma-', 30, 0.0, 0.5, 0.5]",35.92127891927066
"['X4Sigma-', 30, 0.0, 1.5, 1.5]",53.698263193007136
"['X4Sigma-', 31, 0.0, -1.5, -1.5]",33.85990963746932
"['X4Sigma-', 31, 0.0, -0.5, -0.5]",13.482654209117854
"['X4Sigma-', 31, 0.0, 0.5, 0.5]",19.32691540728779
"['X4Sigma-', 31, 0.0, 1.5, 1.5]",28.977897781564476
"['X4Sigma-', 32, 0.0, -1.5, -1.5]",15.265013162175105
"['X4Sigma-', 32, 0.0, -0.5, -0.5]",4.595684130641577
"['X4Sigma-', 32, 0.0, 0.5, 0.5]",7.005535922823911
"['X4Sigma-', 32, 0.0, 1.5, 1.5]",11.395065235344942
"['X4Sigma-', 33, 0.0, -1.5, -1.5]",4.698781359555719
"['X4Sigma-', 33, 0.0, -0.5, -0.5]",0.024866690183738074
"['X4Sigma-', 33, 0.0, 0.5, 0.5]",0.46725041886982466
"['X4Sigma-', 33, 0.0, 1.5, 1.5]",3.663506261338605
"['X4Sigma-', 34, 0.0, -1.5, -1.5]",0.00633363610145563
"['X4Sigma-', 34, 0.0, -0.5, -0.5]",0.11305692904337718
"['X4Sigma-', 34, 0.0, 0.5, 0.5]",0.10447053209053736
"['X4Sigma-', 34, 0.0, 1.5, 1.5]",0.22231022938170047
"['X4Sigma-', 35, 0.0, -1.5, -1.5]",0.316283091488858
"['X4Sigma-', 35, 0.0, -0.5, -0.5]",0.04409534199355713
"['X4Sigma-', 35, 0.0, 0.5, 0.5]",0.24214845135938706
"['X4Sigma-', 35, 0.0, 1.5, 1.5]",0.020037985445093213
"['X4Sigma-', 36, 0.0, -1.5, -1.5]",0.19872941602060679
"['X4Sigma-', 36, 0.0, -0.5, -0.5]",0.020193504684597102
"['X4Sigma-', 36, 0.0, 0.5, 0.5]",0.045437898773198246
"['X4Sigma-', 36, 0.0, 1.5, 1.5]",0.1153748537659291
"['X4Sigma-', 37, 0.0, -1.5, -1.5]",0.02598332122924949
"['X4Sigma-', 37, 0.0, -0.5, -0.5]",0.05123615534141082
"['X4Sigma-', 37, 0.0, 0.5, 0.5]",0.0006214384422178296
"['X4Sigma-', 37, 0.0, 1.5, 1.5]",0.2535673348111814
"['X4Sigma-', 38, 0.0, -1.5, -1.5]",0.013237467200069577
"['X4Sigma-', 38, 0.0, -0.5, -0.5]",0.0041980232417748896
"['X4Sigma-', 38, 0.0, 0.5, 0.5]",0.047384472981731166
"['X4Sigma-', 38, 0.0, 1.5, 1.5]",0.02530423047005811
"['X4Sigma-', 39, 0.0, -1.5, -1.5]",0.15530444844151192
"['X4Sigma-', 39, 0.0, -0.5, -0.5]",0.1609813127393048
"['X4Sigma-', 39, 0.0, 0.5, 0.5]",0.045484772276771286
"['X4Sigma-', 39, 0.0, 1.5, 1.5]",0.037593598035567014
"['X4Sigma-', 40, 0.0, -1.5, -1.5]",0.29957324536737345
"['X4Sigma-', 40, 0.0, -0.5, -0.5]",0.17275503228141914
"['X4Sigma-', 40, 0.0, 0.5, 0.5]",0.34578802925637464
"['X4Sigma-', 40, 0.0, 1.5, 1.5]",0.13045968924444004
"['X4Sigma-', 41, 0.0, -1.5, -1.5]",0.0013721332182417296
"['X4Sigma-', 41, 0.0, -0.5, -0.5]",0.27858147047954235
"['X4Sigma-', 41, 0.0, 0.5, 0.5]",0.010072900823923819
"['X4Sigma-', 41, 0.0, 1.5, 1.5]",0.1206012948486288
"['X4Sigma-', 42, 0.0, -1.5, -1.5]",1.7772525335212508
"['X4Sigma-', 42, 0.0, -0.5, -0.5]",0.7939310074329494
"['X4Sigma-', 42, 0.0, 0.5, 0.5]",1.6424412695429824
"['X4Sigma-', 42, 0.0, 1.5, 1.5]",0.8281405899783042
"['X4Sigma-', 43, 0.0, -1.5, -1.5]",6.923129969740336
"['X4Sigma-', 43, 0.0, -0.5, -0.5]",5.978837557001731
"['X4Sigma-', 43, 0.0, 0.5, 0.5]",5.828765305107296
"['X4Sigma-', 43, 0.0, 1.5, 1.5]",10.025072192837197
"['X4Sigma-', 44, 0.0, -1.5, -1.5]",23.751320646578126
"['X4Sigma-', 44, 0.0, -0.5, -0.5]",14.483931517685026
"['X4Sigma-', 44, 0.0, 0.5, 0.5]",5.219954295368389
"['X4Sigma-', 44, 0.0, 1.5, 1.5]",34.68701177581631
"['X4Sigma-', 45, 0.0, -1.5, -1.5]",15.807205294217514
"['X4Sigma-', 45, 0.0, -0.5, -0.5]",8.721260949808373
"['X4Sigma-', 45, 0.0, 0.5, 0.5]",12.309732630987398
"['X4Sigma-', 45, 0.0, 1.5, 1.5]",0.2527399866825167
"['X4Sigma-', 46, 0.0, -1.5, -1.5]",18.537465365174356
"['X4Sigma-', 46, 0.0, -0.5, -0.5]",16.253122711441144
"['X4Sigma-', 46, 0.0, 0.5, 0.5]",9.08215117915896
"['X4Sigma-', 46, 0.0, 1.5, 1.5]",57.08414978038379
"['X4Sigma-', 47, 0.0, -1.5, -1.5]",7.590782759729802
"['X4Sigma-', 47, 0.0, -0.5, -0.5]",2.316437029282943
"['X4Sigma-', 47, 0.0, 0.5, 0.5]",3.831931814475232
"['X4Sigma-', 47, 0.0, 1.5, 1.5]",28.748172148509877
"['X4Sigma-', 48, 0.0, -1.5, -1.5]",0.8111310528980872
"['X4Sigma-', 48, 0.0, -0.5, -0.5]",2.4976293833658065
"['X4Sigma-', 48, 0.0, 0.5, 0.5]",0.39973291441603853
"['X4Sigma-', 48, 0.0, 1.5, 1.5]",13.071418239360858
"['X4Sigma-', 49, 0.0, -1.5, -1.5]",0.7767686250109967
"['X4Sigma-', 49, 0.0, -0.5, -0.5]",0.06497148293946439
"['X4Sigma-', 49, 0.0, 0.5, 0.5]",0.7241063610927663
"['X4Sigma-', 49, 0.0, 1.5, 1.5]",0.004102640838149386
"['X4Sigma-', 50, 0.0, -1.5, -1.5]",5.722487822202022
"['X4Sigma-', 50, 0.0, -0.5, -0.5]",4.082745312846562
"['X4Sigma-', 50, 0.0, 0.5, 0.5]",4.705269133698364
"['X4Sigma-', 50, 0.0, 1.5, 1.5]",17.320258913136602
"['X4Sigma-', 51, 0.0, -1.5, -1.5]",10.348421087407978
"['X4Sigma-', 51, 0.0, -0.5, -0.5]",10.21721134550665
"['X4Sigma-', 51, 0.0, 0.5, 0.5]",4.739854944422594
"['X4Sigma-', 51, 0.0, 1.5, 1.5]",26.453581701342234
"['X4Sigma-', 52, 0.0, -1.5, -1.5]",0.8769367246005197
"['X4Sigma-', 52, 0.0, -0.5, -0.5]",12.421038328001195
"['X4Sigma-', 52, 0.0, 0.5, 0.5]",1.4586840925199744
"['X4Sigma-', 52, 0.0, 1.5, 1.5]",5.022162245511525
"['X4Sigma-', 53, 0.0, -1.5, -1.5]",0.6157009065137311
"['X4Sigma-', 53, 0.0, -0.5, -0.5]",0.0007130916023373468
"['X4Sigma-', 53, 0.0, 0.5, 0.5]",0.01615609894626731
"['X4Sigma-', 53, 0.0, 1.5, 1.5]",0.8876601902589981
"['X4Sigma-', 54, 0.0, -1.5, -1.5]",0.4913563367709908
"['X4Sigma-', 54, 0.0, 0.5, 0.5]",0.3989800084030003
"['X4Sigma-', 54, 0.0, 1.5, 1.5]",0.0630404654151665
"['X4Sigma-', 55, 0.0, -1.5, -1.5]",0.2412701268318919
"['X4Sigma-', 55, 0.0, 0.5, 0.5]",0.08715250168833988
"['X4Sigma-', 55, 0.0, 1.5, 1.5]",0.31003194109597904
"['X4Sigma-', 56, 0.0, -1.5, -1.5]",0.011680500899065855
"['X4Sigma-', 56, 0.0, -0.5, -0.5]",0.020972534695787547
"['X4Sigma-', 56, 0.0, 0.5, 0.5]",0.002364002359943314
"['X4Sigma-', 56, 0.0, 1.5, 1.5]",0.04014961634359145
"['X4Sigma-', 57, 0.0, -1.5, -1.5]",0.09929281953443762
"['X4Sigma-', 57, 0.0, -0.5, -0.5]",0.41462109265259317
"['X4Sigma-', 57, 0.0, 0.5, 0.5]",0.0475022047937176
"['X4Sigma-', 57, 0.0, 1.5, 1.5]",0.13194012898049756
"['X4Sigma-', 58, 0.0, -1.5, -1.5]",0.19821268159159922
"['X4Sigma-', 58, 0.0, -0.5, -0.5]",1.18913277031963
"['X4Sigma-', 58, 0.0, 0.5, 0.5]",0.32264917889906847
"['X4Sigma-', 58, 0.0, 1.5, 1.5]",0.5777467728442611
"['X4Sigma-', 59, 0.0, -1.5, -1.5]",0.23714079201410454
"['X4Sigma-', 59, 0.0, 0.5, 0.5]",0.2482811938260431
"['X4Sigma-', 59, 0.0, 1.5, 1.5]",0.26822502316712904
"['a2Sigma-', 0, 0.0, -0.5, -0.5]",0.19145204981882982
"['a2Sigma-', 0, 0.0, 0.5, 0.5]",0.19373650851445917
"['a2Sigma-', 1, 0.0, -0.5, -0.5]",0.07669351502360301
"['a2Sigma-', 1, 0.0, 0.5, 0.5]",0.07718352915459288
"['a2Sigma-', 2, 0.0, -0.5, -0.5]",0.04669887196095919
"['a2Sigma-', 2, 0.0, 0.5, 0.5]",0.04695125681100555
"['a2Sigma-', 3, 0.0, -0.5, -0.5]",0.032144426991281796
"['a2Sigma-', 3, 0.0, 0.5, 0.5]",0.03233521250503492
"['a2Sigma-', 4, 0.0, -0.5, -0.5]",0.01815409506433791
"['a2Sigma-', 4, 0.0, 0.5, 0.5]",0.017611695499385776
"['a2Sigma-', 5, 0.0, -0.5, -0.5]",0.010836061463006074
"['a2Sigma-', 5, 0.0, 0.5, 0.5]",0.010800327388611275
"['a2Sigma-', 6, 0.0, -0.5, -0.5]",0.006372725355493359
"['a2Sigma-', 6, 0.0, 0.5, 0.5]",0.006543332215423711
"['a2Sigma-', 7, 0.0, -0.5, -0.5]",0.0005990135913600574
"['a2Sigma-', 7, 0.0, 0.5, 0.5]",0.001836526999727967
"['a2Sigma-', 8, 0.0, -0.5, -0.5]",0.0011641361883488646
"['a2Sigma-', 8, 0.0, 0.5, 0.5]",9.025874507402077e-05
"['a2Sigma-', 9, 0.0, -0.5, -0.5]",0.0005352651441525911
"['a2Sigma-', 9, 0.0, 0.5, 0.5]",0.0006941195238672963
"['a2Sigma-', 10, 0.0, -0.5, -0.5]",0.0003310685737555587
"['a2Sigma-', 10, 0.0, 0.5, 0.5]",3.950198039295777e-06
"['a2Sigma-', 11, 0.0, -0.5, -0.5]",7.856596803190837e-05
"['a2Sigma-', 11, 0.0, 0.5, 0.5]",8.725210568517055e-05
"['a2Sigma-', 12, 0.0, -0.5, -0.5]",3.207054429803848e-06
"['a2Sigma-', 12, 0.0, 0.5, 0.5]",2.7031695355709467e-05
"['a2Sigma-', 13, 0.0, -0.5, -0.5]",0.00011988390386421088
"['a2Sigma-', 13, 0.0, 0.5, 0.5]",0.00011499977124861687
"['a2Sigma-', 14, 0.0, -0.5, -0.5]",0.00036119632126237926
"['a2Sigma-', 14, 0.0, 0.5, 0.5]",0.0003243026110664756
"['a2Sigma-', 15, 0.0, -0.5, -0.5]",0.0006302681552145398
"['a2Sigma-', 15, 0.0, 0.5, 0.5]",0.0005937110476849995
"['a2Sigma-', 16, 0.0, -0.5, -0.5]",0.0009503494342903622
"['a2Sigma-', 16, 0.0, 0.5, 0.5]",0.0009382237065028278
"['a2Sigma-', 17, 0.0, -0.5, -0.5]",0.0014247326622836255
"['a2Sigma-', 17, 0.0, 0.5, 0.5]",0.0014464247564516019
"['a2Sigma-', 18, 0.0, -0.5, -0.5]",0.0022880966576640477
"['a2Sigma-', 18, 0.0, 0.5, 0.5]",0.0023340123340382436
"['a2Sigma-', 19, 0.0, -0.5, -0.5]",0.004611864872221986
"['a2Sigma-', 19, 0.0, 0.5, 0.5]",0.004688173543634907
"['a2Sigma-', 20, 0.0, -0.5, -0.5]",0.0422777520779241
"['a2Sigma-', 20, 0.0, 0.5, 0.5]",0.030474496167707844
"['a2Sigma-', 21, 0.0, -0.5, -0.5]",3.868119278844289e-05
"['a2Sigma-', 21, 0.0, 0.5, 0.5]",0.0001173344569232274
"['a2Sigma-', 22, 0.0, -0.5, -0.5]",0.0003878494593690698
"['a2Sigma-', 22, 0.0, 0.5, 0.5]",9.780884180352657e-05
"['a2Sigma-', 23, 0.0, -0.5, -0.5]",0.0006053452831656387
"['a2Sigma-', 23, 0.0, 0.5, 0.5]",0.0006700737533478018
"['a2Sigma-', 24, 0.0, -0.5, -0.5]",0.0010786053363739418
"['a2Sigma-', 24, 0.0, 0.5, 0.5]",0.0010046153880516103
"['a2Sigma-', 25, 0.0, -0.5, -0.5]",0.0012579978330537122
"['a2Sigma-', 25, 0.0, 0.5, 0.5]",0.0012215178249424688
"['a2Sigma-', 26, 0.0, -0.5, -0.5]",0.0013990054985253536
"['a2Sigma-', 26, 0.0, 0.5, 0.5]",0.0013770786412151707
"['a2Sigma-', 27, 0.0, -0.5, -0.5]",0.0013926749985653899
"['a2Sigma-', 27, 0.0, 0.5, 0.5]",0.001347473273059273
"['a2Sigma-', 28, 0.0, -0.5, -0.5]",0.0013451145722671199
"['a2Sigma-', 28, 0.0, 0.5, 0.5]",0.0013622687348947002
"['a2Sigma-', 29, 0.0, -0.5, -0.5]",0.0012939709427844993
"['a2Sigma-', 29, 0.0, 0.5, 0.5]",0.001314354696975882
"['a2Sigma-', 30, 0.0, -0.5, -0.5]",0.000772755046922737
"['a2Sigma-', 30, 0.0, 0.5, 0.5]",0.000601002298327979
"['a2Sigma-', 31, 0.0, -0.5, -0.5]",0.029968915593064305
"['a2Sigma-', 31, 0.0, 0.5, 0.5]",0.003809323410201736
"['a2Sigma-', 32, 0.0, -0.5, -0.5]",0.019044472152427584
"['a2Sigma-', 32, 0.0, 0.5, 0.5]",0.007821434243665487
"['a2Sigma-', 33, 0.0, -0.5, -0.5]",0.021260518474185326
"['a2Sigma-', 33, 0.0, 0.5, 0.5]",0.002235878691588893
"['a2Sigma-', 34, 0.0, -0.5, -0.5]",1.595912300675674e-05
"['a2Sigma-', 34, 0.0, 0.5, 0.5]",0.00031038437875655013
"['a2Sigma-', 35, 0.0, -0.5, -0.5]",0.004100143328593337
"['a2Sigma-', 35, 0.0, 0.5, 0.5]",1.972251611829373e-05
"['a2Sigma-', 36, 0.0, -0.5, -0.5]",0.0023920181895098367
"['a2Sigma-', 36, 0.0, 0.5, 0.5]",0.00010991236772470648
"['a2Sigma-', 37, 0.0, -0.5, -0.5]",0.0006979004763006143
"['a2Sigma-', 37, 0.0, 0.5, 0.5]",3.3550174941856457e-06
"['a2Sigma-', 38, 0.0, -0.5, -0.5]",4.1513930180929505e-06
"['a2Sigma-', 38, 0.0, 0.5, 0.5]",0.00013921876045425524
"['a2Sigma-', 39, 0.0, -0.5, -0.5]",0.0005122507257551344
"['a2Sigma-', 39, 0.0, 0.5, 0.5]",8.484778739445775e-07
"['a2Sigma-', 40, 0.0, -0.5, -0.5]",0.0004638079431377471
"['a2Sigma-', 40, 0.0, 0.5, 0.5]",1.3398340946109925e-05
"['a2Sigma-', 41, 0.0, -0.5, -0.5]",7.44943886198826e-06
"['a2Sigma-', 41, 0.0, 0.5, 0.5]",0.004144851314629332
"['a2Sigma-', 42, 0.0, -0.5, -0.5]",0.0008508801562831177
"['a2Sigma-', 42, 0.0, 0.5, 0.5]",0.005613096058930011
"['a2Sigma-', 43, 0.0, -0.5, -0.5]",0.0033931460739226654
"['a2Sigma-', 43, 0.0, 0.5, 0.5]",0.004547091368530074
"['a2Sigma-', 44, 0.0, -0.5, -0.5]",0.004914136363694048
"['a2Sigma-', 44, 0.0, 0.5, 0.5]",0.007934187478460525
"['a2Sigma-', 45, 0.0, -0.5, -0.5]",0.001610205705885295
"['a2Sigma-', 45, 0.0, 0.5, 0.5]",0.0307239530520723
"['a2Sigma-', 46, 0.0, -0.5, -0.5]",0.024260602716795657
"['a2Sigma-', 46, 0.0, 0.5, 0.5]",0.07162448874495013
"['a2Sigma-', 47, 0.0, -0.5, -0.5]",0.005828442126055614
"['a2Sigma-', 47, 0.0, 0.5, 0.5]",0.03013779686954821
"['a2Sigma-', 48, 0.0, -0.5, -0.5]",0.007226635228154285
"['a2Sigma-', 48, 0.0, 0.5, 0.5]",0.0006480636793098142
"['a2Sigma-', 49, 0.0, -0.5, -0.5]",0.005953471441432559
"['a2Sigma-', 49, 0.0, 0.5, 0.5]",0.00014971779129393712
"['a2Sigma-', 50, 0.0, -0.5, -0.5]",0.08171536130489011
"['a2Sigma-', 50, 0.0, 0.5, 0.5]",0.12836408690694573
"['a2Sigma-', 51, 0.0, -0.5, -0.5]",0.4386276845057251
"['a2Sigma-', 51, 0.0, 0.5, 0.5]",0.2981089946534454
"['a2Sigma-', 52, 0.0, -0.5, -0.5]",0.5556721575342071
"['a2Sigma-', 52, 0.0, 0.5, 0.5]",0.43024192111672
"['a2Sigma-', 53, 0.0, -0.5, -0.5]",0.6638451789653061
"['a2Sigma-', 53, 0.0, 0.5, 0.5]",0.4241949149039841
"['a2Sigma-', 54, 0.0, -0.5, -0.5]",0.7239443915878074
"['a2Sigma-', 54, 0.0, 0.5, 0.5]",0.4414634129025513
"['a2Sigma-', 55, 0.0, -0.5, -0.5]",0.6962686880707134
"['a2Sigma-', 55, 0.0, 0.5, 0.5]",0.4088143227857061
"['a2Sigma-', 56, 0.0, -0.5, -0.5]",0.46345453113013174
"['a2Sigma-', 56, 0.0, 0.5, 0.5]",0.22031936401572247
"['a2Sigma-', 57, 0.0, -0.5, -0.5]",0.2648708059479502
"['a2Sigma-', 57, 0.0, 0.5, 0.5]",0.19738143842366726
"['a2Sigma-', 58, 0.0, -0.5, -0.5]",4.9847113697195535
"['a2Sigma-', 58, 0.0, 0.5, 0.5]",1.2410447702678793
"['a2Sigma-', 59, 0.0, -0.5, -0.5]",6.9771904216040435
"['a2Sigma-', 59, 0.0, 0.5, 0.5]",1.2832767730965093
"['b2Gamma', 0, -4.0, -0.5, -4.5]",43.88629145321594
"['b2Gamma', 0, -4.0, 0.5, -3.5]",39.44142558080532
"['b2Gamma', 0, 4.0, -0.5, 3.5]",39.44142557938679
"['b2Gamma', 0, 4.0, 0.5, 4.5]",43.886291453041366
"['b2Gamma', 1, -4.0, -0.5, -4.5]",0.07096675969446495
"['b2Gamma', 1, -4.0, 0.5, -3.5]",0.0710197199483236
"['b2Gamma', 1, 4.0, -0.5, 3.5]",0.07101971944048635
"['b2Gamma', 1, 4.0, 0.5, 4.5]",0.07096660434883288
"['b2Gamma', 2, -4.0, -0.5, -4.5]",0.03593424748714551
"['b2Gamma', 2, -4.0, 0.5, -3.5]",0.03595943824369629
"['b2Gamma', 2, 4.0, -0.5, 3.5]",0.03595943827685745
"['b2Gamma', 2, 4.0, 0.5, 4.5]",0.03593424746726144
"['b2Gamma', 3, -4.0, -0.5, -4.5]",0.024251810360168335
"['b2Gamma', 3, -4.0, 0.5, -3.5]",0.024270541162347926
"['b2Gamma', 3, 4.0, -0.5, 3.5]",0.024270541163974098
"['b2Gamma', 3, 4.0, 0.5, 4.5]",0.024251810359384927
"['b2Gamma', 4, -4.0, -0.5, -4.5]",0.01841711177941063
"['b2Gamma', 4, -4.0, 0.5, -3.5]",0.018431766127990957
"['b2Gamma', 4, 4.0, -0.5, 3.5]",0.018431784748521772
"['b2Gamma', 4, 4.0, 0.5, 4.5]",0.018417111779236616
"['b2Gamma', 5, -4.0, -0.5, -4.5]",0.01492262767868977
"['b2Gamma', 5, -4.0, 0.5, -3.5]",0.01493434291553342
"['b2Gamma', 5, 4.0, -0.5, 3.5]",0.014934276784741294
"['b2Gamma', 5, 4.0, 0.5, 4.5]",0.014922627673715055
"['b2Gamma', 6, -4.0, -0.5, -4.5]",0.012598520104654827
"['b2Gamma', 6, -4.0, 0.5, -3.5]",0.01260867445555654
"['b2Gamma', 6, 4.0, -0.5, 3.5]",0.012608674438874727
"['b2Gamma', 6, 4.0, 0.5, 4.5]",0.012598520107203134
"['b2Gamma', 7, -4.0, -0.5, -4.5]",0.010943251182637679
"['b2Gamma', 7, -4.0, 0.5, -3.5]",0.010952646458333526
"['b2Gamma', 7, 4.0, -0.5, 3.5]",0.010951839143059106
"['b2Gamma', 7, 4.0, 0.5, 4.5]",0.010943190550023765
"['b2Gamma', 8, -4.0, -0.5, -4.5]",0.009707355731201496
"['b2Gamma', 8, -4.0, 0.5, -3.5]",0.009715363674445148
"['b2Gamma', 8, 4.0, -0.5, 3.5]",0.009715363793987521
"['b2Gamma', 8, 4.0, 0.5, 4.5]",0.009707355336700453
"['b2Gamma', 9, -4.0, -0.5, -4.5]",0.008750013403883743
"['b2Gamma', 9, -4.0, 0.5, -3.5]",0.008757320883185944
"['b2Gamma', 9, 4.0, -0.5, 3.5]",0.008757320933100497
"['b2Gamma', 9, 4.0, 0.5, 4.5]",0.008750013266239321
"['b2Gamma', 10, -4.0, -0.5, -4.5]",0.007988418265233279
"['b2Gamma', 10, -4.0, 0.5, -3.5]",0.007995176226093057
"['b2Gamma', 10, 4.0, -0.5, 3.5]",0.007995176212677148
"['b2Gamma', 10, 4.0, 0.5, 4.5]",0.007988418261945546
"['b2Gamma', 11, -4.0, -0.5, -4.5]",0.007368985880031516
"['b2Gamma', 11, -4.0, 0.5, -3.5]",0.007375294344073035
"['b2Gamma', 11, 4.0, -0.5, 3.5]",0.007375294352462747
"['b2Gamma', 11, 4.0, 0.5, 4.5]",0.0073689858666464575
"['b2Gamma', 12, -4.0, -0.5, -4.5]",0.00685754730438776
"['b2Gamma', 12, -4.0, 0.5, -3.5]",0.006863526913370117
"['b2Gamma', 12, 4.0, -0.5, 3.5]",0.0068635269166718695
"['b2Gamma', 12, 4.0, 0.5, 4.5]",0.006857547305450039
"['b2Gamma', 13, -4.0, -0.5, -4.5]",0.01662264393151579
"['b2Gamma', 13, -4.0, 0.5, -3.5]",0.016631083114831472
"['b2Gamma', 13, 4.0, -0.5, 3.5]",0.01663108314982005
"['b2Gamma', 13, 4.0, 0.5, 4.5]",0.01662264393818816
"['b2Gamma', 14, -4.0, -0.5, -4.5]",0.06990078464967119
"['b2Gamma', 14, -4.0, 0.5, -3.5]",0.06991363991234134
"['b2Gamma', 14, 4.0, -0.5, 3.5]",0.0699136523192318
"['b2Gamma', 14, 4.0, 0.5, 4.5]",0.06990077210895165
"['b2Gamma', 15, -4.0, -0.5, -4.5]",0.3504807006126275
"['b2Gamma', 15, -4.0, 0.5, -3.5]",0.3503647050987297
"['b2Gamma', 15, 4.0, -0.5, 3.5]",0.350364716147451
"['b2Gamma', 15, 4.0, 0.5, 4.5]",0.35048071554851545
"['b2Gamma', 16, -4.0, -0.5, -4.5]",1.862559305465122
"['b2Gamma', 16, -4.0, 0.5, -3.5]",1.85693258375235
"['b2Gamma', 16, 4.0, -0.5, 3.5]",1.8569326749095059
"['b2Gamma', 16, 4.0, 0.5, 4.5]",1.8625596329159562
"['b2Gamma', 17, -4.0, -0.5, -4.5]",9.560494707338815
"['b2Gamma', 17, -4.0, 0.5, -3.5]",9.480514541055701
"['b2Gamma', 17, 4.0, -0.5, 3.5]",9.480515433389234
"['b2Gamma', 17, 4.0, 0.5, 4.5]",9.560493920488614
"['b2Gamma', 18, -4.0, -0.5, -4.5]",63.61732861877902
"['b2Gamma', 18, -4.0, 0.5, -3.5]",61.06534833164644
"['b2Gamma', 18, 4.0, -0.5, 3.5]",61.06537186933687
"['b2Gamma', 18, 4.0, 0.5, 4.5]",63.61430128593096
"['b2Gamma', 19, -4.0, -0.5, -4.5]",245.6355441942847
"['b2Gamma', 19, -4.0, 0.5, -3.5]",200.0710649543008
"['b2Gamma', 19, 4.0, -0.5, 3.5]",200.0696008696246
"['b2Gamma', 19, 4.0, 0.5, 4.5]",245.693752009111
"['b2Gamma', 20, -4.0, -0.5, -4.5]",288.6079539297485
"['b2Gamma', 20, -4.0, 0.5, -3.5]",1.0440470255964593
"['b2Gamma', 20, 4.0, -0.5, 3.5]",1.0412409189450784
"['b2Gamma', 20, 4.0, 0.5, 4.5]",288.77243123389894
"['b2Gamma', 21, -4.0, -0.5, -4.5]",212.0098740283062
"['b2Gamma', 21, -4.0, 0.5, -3.5]",136.46017650850763
"['b2Gamma', 21, 4.0, -0.5, 3.5]",136.44394383509362
"['b2Gamma', 21, 4.0, 0.5, 4.5]",212.0922417854617
"['b2Gamma', 22, -4.0, -0.5, -4.5]",159.01708083712805
"['b2Gamma', 22, -4.0, 0.5, -3.5]",105.30867215306486
"['b2Gamma', 22, 4.0, -0.5, 3.5]",105.30810066859645
"['b2Gamma', 22, 4.0, 0.5, 4.5]",159.01720736967093
"['b2Gamma', 23, -4.0, -0.5, -4.5]",132.38758824030137
"['b2Gamma', 23, -4.0, 0.5, -3.5]",90.19710625264995
"['b2Gamma', 23, 4.0, -0.5, 3.5]",90.19640542498847
"['b2Gamma', 23, 4.0, 0.5, 4.5]",132.3868615362253
"['b2Gamma', 24, -4.0, -0.5, -4.5]",105.95269739656318
"['b2Gamma', 24, -4.0, 0.5, -3.5]",86.48857568937966
"['b2Gamma', 24, 4.0, -0.5, 3.5]",86.48890632153818
"['b2Gamma', 24, 4.0, 0.5, 4.5]",105.95304326793381
"['b2Gamma', 25, -4.0, -0.5, -4.5]",63.40053572209706
"['b2Gamma', 25, -4.0, 0.5, -3.5]",86.0190405338036
"['b2Gamma', 25, 4.0, -0.5, 3.5]",86.01853753601777
"['b2Gamma', 25, 4.0, 0.5, 4.5]",63.40044692258869
"['b2Gamma', 26, -4.0, -0.5, -4.5]",131.75219367235496
"['b2Gamma', 26, -4.0, 0.5, -3.5]",8.138753624375962
"['b2Gamma', 26, 4.0, -0.5, 3.5]",8.138737455828798
"['b2Gamma', 26, 4.0, 0.5, 4.5]",131.75021841010508
"['b2Gamma', 27, -4.0, -0.5, -4.5]",168.2479549625917
"['b2Gamma', 27, -4.0, 0.5, -3.5]",106.67373539727949
"['b2Gamma', 27, 4.0, -0.5, 3.5]",105.72914108205488
"['b2Gamma', 27, 4.0, 0.5, 4.5]",168.16584017708774
"['b2Gamma', 28, -4.0, -0.5, -4.5]",152.41586303010718
"['b2Gamma', 28, 4.0, 0.5, 4.5]",163.81881366608536
"['b2Gamma', 29, -4.0, -0.5, -4.5]",165.2684951569231
"['b2Gamma', 29, -4.0, 0.5, -3.5]",213.50751175495256
"['b2Gamma', 29, 4.0, -0.5, 3.5]",217.24807402542527
"['b2Gamma', 29, 4.0, 0.5, 4.5]",161.28047323942621
"['b2Gamma', 30, -4.0, -0.5, -4.5]",265.9389374186878
"['b2Gamma', 30, -4.0, 0.5, -3.5]",354.9487930946932
"['b2Gamma', 30, 4.0, -0.5, 3.5]",376.35723645712613
"['b2Gamma', 30, 4.0, 0.5, 4.5]",267.780114511273
"['b2Gamma', 31, -4.0, -0.5, -4.5]",411.24255216165625
"['b2Gamma', 31, -4.0, 0.5, -3.5]",546.7304400175495
"['b2Gamma', 31, 4.0, -0.5, 3.5]",551.8181367021475
"['b2Gamma', 31, 4.0, 0.5, 4.5]",412.5396385513122
"['b2Gamma', 32, -4.0, -0.5, -4.5]",549.1754313077672
"['b2Gamma', 32, -4.0, 0.5, -3.5]",797.6256233735817
